year,total_directors,independent_directors,female_directors,ceo_duality,board_meetings,avg_tenure_years,avg_age_years,technology_count,technology_share,finance_count,finance_share,risk_count,risk_share,international_count,international_share,operations_count,operations_share,marketing_count,marketing_share,ESG_sustainability_count,ESG_sustainability_share
2025,8,7,4,0,5,11.375,68.125,7,0.875,8,1,8,1,7,0.875,7,0.875,6,0.75,4,0.5
2024,8,7,3,0,4,13.875,67,7,0.875,8,1,8,1,7,0.875,8,1,6,0.75,1,0.125
2023,8,7,3,0,4,12.2,67.7,5,0.556,9,1,9,1,8,0.889,8,0.889,6,0.667,4,0.444
2022,9,8,3,0,5,12.9,66.9,5,0.556,9,1,9,1,8,0.889,8,0.889,6,0.667,4,0.444
2021,8,7,3,0,4,10.4,66.4,4,0.5,5,0.625,4,0.5,8,1,6,0.75,3,0.375,2,0.25
2020,7,6,2,0,5,16.1,63.9,4,0.571,4,0.571,3,0.429,7,1,6,0.857,2,0.286,1,0.143
2019,8,7,2,0,4,10,65.1,4,0.5,4,0.5,3,0.375,8,1,6,0.75,2,0.25,1,0.125
2018,8,7,2,0,4,9,65.1,4,0.5,4,0.5,3,0.375,8,1,6,0.75,2,0.25,1,0.125
2017,8,7,2,0,4,8,64.1,4,0.5,4,0.5,3,0.375,8,1,6,0.75,2,0.25,1,0.125
2016,8,7,2,0,8,7,62.1,3,0.375,4,0.5,3,0.375,4,0.5,2,0.25,2,0.25,1,0.125
2015,7,6,2,0,7,6.9,60.4,3,0.429,3,0.429,2,0.286,4,0.571,2,0.286,2,0.286,1,0.143
2014,8,7,1,0,4,9.1,63.3,3,0.375,3,0.375,2,0.25,3,0.375,1,0.125,3,0.375,1,0.125
2013,8,7,1,0,5,8.1,62.3,3,0.375,3,0.375,2,0.25,3,0.375,1,0.125,3,0.375,1,0.125
2012,8,7,1,0,5,7.1,61.3,3,0.375,3,0.375,2,0.25,3,0.375,1,0.125,3,0.375,1,0.125
2011,7,6,1,0,4,9,61.1,3,0.429,3,0.429,1,0.143,2,0.286,0,0,2,0.286,1,0.143
2010,7,6,1,0,4,9,61.6,4,0.571,2,0.286,3,0.429,2,0.286,4,0.571,3,0.429,1,0.143
2009,8,7,1,0,5,7.4,59.6,5,0.625,2,0.25,4,0.5,2,0.25,5,0.625,3,0.375,1,0.125
2008,8,7,1,0,7,6.9,58.4,5,0.625,2,0.25,4,0.5,2,0.25,5,0.625,3,0.375,1,0.125
2007,7,6,0,0,5,7,59.3,4,0.571,1,0.143,3,0.429,1,0.143,4,0.571,2,0.286,1,0.143
2006,7,5,0,0,6,6.7,59.6,3,0.429,2,0.286,3,0.429,1,0.143,4,0.571,2,0.286,1,0.143
2005,7,5,0,0,6,5.43,59.43,3,0.429,2,0.286,3,0.429,1,0.143,6,0.857,2,0.286,1,0.143
2004,7,6,0,0,7,4.4,58.6,3,0.429,2,0.286,2,0.286,1,0.143,3,0.429,2,0.286,1,0.143
